Brand,Fuel_Type,Transmission,Seller_Type,Year,Km_Driven,Mileage_kmpl,Engine_CC,Seats,Owner_Count,Selling_Price_Lakhs
Audi,Diesel,Manual,Individual,2009,186829,19.4,1000,5,1,0.5
Ford,Diesel,Automatic,Dealer,2018,197459,29.2,800,7,2,0.5
Maruti,CNG,Manual,Dealer,2016,176827,8.4,1500,5,3,0.5
Audi,Diesel,Automatic,Dealer,2017,110469,23.9,1200,5,3,1.17
BMW,Petrol,Automatic,Dealer,2017,149586,21.8,1000,7,3,0.5
Tata,Diesel,Manual,Trustmark Dealer,2021,167430,23.1,2000,4,4,0.5
Audi,Diesel,Automatic,Dealer,2019,129858,20.6,3000,8,1,2.14
Volkswagen,Diesel,Automatic,Dealer,2010,107809,9.0,1200,8,1,0.5
Maruti,Petrol,Automatic,Individual,2016,28631,11.3,800,5,1,0.5
Mercedes,Petrol,Manual,Trustmark Dealer,2006,10807,28.3,3000,7,2,3.7
Mercedes,CNG,Automatic,Dealer,2008,135184,13.1,1800,5,1,0.5
BMW,Diesel,Manual,Individual,2024,16908,29.8,2500,7,3,6.88
Audi,Electric,Automatic,Trustmark Dealer,2016,160507,23.0,1200,5,2,0.5
Audi,Diesel,Manual,Dealer,2007,66716,17.8,2500,7,2,0.67
Honda,Diesel,Manual,Dealer,2021,35432,28.2,2500,5,1,2.48
Audi,Diesel,Automatic,Dealer,2010,105458,25.5,1800,5,1,1.07
Mahindra,CNG,Automatic,Individual,2021,176582,17.4,3000,7,1,0.5
Toyota,Diesel,Manual,Dealer,2021,150299,9.5,1500,5,4,0.5
Volkswagen,Diesel,Manual,Dealer,2015,154676,27.1,1800,7,1,0.5
Honda,Petrol,Manual,Individual,2011,99101,24.8,1200,8,2,0.5
Ford,Diesel,Automatic,Individual,2006,112494,25.4,1200,5,4,0.5
Honda,Diesel,Automatic,Dealer,2023,30790,24.4,1000,7,1,3.28
Mahindra,Petrol,Automatic,Individual,2006,167016,14.1,2000,5,1,0.5
Ford,Petrol,Manual,Dealer,2017,158259,26.9,1800,5,2,0.5
Volkswagen,Petrol,Manual,Dealer,2020,188618,8.0,1500,4,2,0.5
Mahindra,Petrol,Automatic,Individual,2021,140097,13.2,1000,5,3,0.5
Hyundai,Petrol,Automatic,Trustmark Dealer,2015,160584,9.0,1000,5,1,0.5
Toyota,Petrol,Manual,Dealer,2013,151979,10.4,1500,5,1,0.5
Volkswagen,Electric,Automatic,Trustmark Dealer,2013,42924,19.7,1000,5,1,1.58
Audi,Diesel,Manual,Individual,2018,52196,8.8,1500,5,2,2.55
Hyundai,Petrol,Manual,Dealer,2017,150482,12.0,800,7,1,0.5
BMW,Petrol,Manual,Individual,2015,179835,13.1,1000,5,2,0.5
Volkswagen,Diesel,Manual,Dealer,2016,195646,22.4,1200,5,1,0.5
BMW,Petrol,Manual,Trustmark Dealer,2007,108116,18.3,800,5,2,0.5
Ford,CNG,Manual,Trustmark Dealer,2005,144722,18.1,1000,5,1,0.5
Hyundai,Diesel,Manual,Dealer,2012,53826,24.9,1500,8,1,0.5
Toyota,Diesel,Automatic,Dealer,2023,162349,18.0,800,7,3,0.5
Audi,Petrol,Manual,Dealer,2017,62970,15.7,2000,5,1,1.86
Audi,Diesel,Manual,Dealer,2011,138528,29.2,800,5,1,0.5
Mahindra,Petrol,Manual,Dealer,2017,152662,8.2,1200,8,2,0.5
Audi,Electric,Manual,Dealer,2010,32892,14.7,1000,7,2,3.21
Kia,Diesel,Automatic,Individual,2007,22740,21.4,1000,5,1,0.5
Honda,Petrol,Manual,Dealer,2010,181800,25.2,1500,7,2,0.5
Maruti,Petrol,Automatic,Individual,2007,16788,26.0,800,5,1,0.5
Toyota,Petrol,Automatic,Individual,2017,94381,9.0,1200,5,1,0.5
Hyundai,Diesel,Manual,Dealer,2017,117569,23.6,1500,4,1,0.5
Kia,Petrol,Manual,Trustmark Dealer,2017,144223,23.8,2000,8,3,0.5
Toyota,Diesel,Manual,Dealer,2005,31515,12.7,3000,7,3,0.5
Hyundai,Petrol,Manual,Dealer,2012,147059,10.5,1500,5,1,0.5
Tata,Diesel,Automatic,Individual,2009,60674,24.5,1200,5,1,0.5
Tata,CNG,Manual,Dealer,2024,52767,13.5,1000,5,1,0.5
BMW,Diesel,Manual,Individual,2021,120737,8.0,1200,5,1,0.5
Toyota,Diesel,Manual,Trustmark Dealer,2013,44644,12.9,1000,5,3,0.5
Tata,Petrol,Manual,Trustmark Dealer,2017,43741,8.7,1800,5,1,0.5
Hyundai,Petrol,Manual,Individual,2017,70121,13.5,800,5,1,0.5
BMW,Diesel,Manual,Individual,2009,177507,15.4,1200,5,1,0.5
Audi,Petrol,Manual,Dealer,2018,144128,14.0,3000,5,1,0.5
Hyundai,Petrol,Manual,Dealer,2015,188490,28.2,2000,5,1,0.5
BMW,Petrol,Automatic,Individual,2018,91549,13.1,2000,5,2,1.59
Toyota,Petrol,Automatic,Dealer,2011,171585,18.3,2500,4,1,0.5
Kia,Petrol,Manual,Dealer,2021,29660,29.1,1500,5,1,1.71
Mahindra,CNG,Manual,Dealer,2008,7639,27.3,3000,5,1,0.5
Audi,Petrol,Automatic,Individual,2014,91856,14.8,1000,5,2,0.95
Volkswagen,Diesel,Manual,Dealer,2014,77009,15.2,800,8,1,0.5
Kia,Petrol,Manual,Individual,2019,15622,21.1,2000,5,1,0.93
Ford,Diesel,Manual,Dealer,2024,123192,28.2,800,5,1,0.5
Hyundai,Petrol,Automatic,Dealer,2016,23808,8.2,1200,5,1,0.79
Ford,CNG,Manual,Dealer,2013,191708,16.6,1500,5,1,0.5
Kia,CNG,Automatic,Dealer,2007,135473,26.7,2000,5,1,0.5
BMW,Petrol,Automatic,Trustmark Dealer,2019,27951,17.0,1200,6,1,4.74
Volkswagen,Electric,Automatic,Dealer,2016,121909,23.8,1500,7,1,0.5
Audi,Electric,Automatic,Dealer,2019,181148,23.2,1800,6,1,0.5
Audi,CNG,Manual,Individual,2005,126522,12.5,1200,4,2,0.5
Audi,CNG,Manual,Dealer,2019,151417,17.9,2500,5,2,0.5
Volkswagen,Petrol,Automatic,Dealer,2015,136469,20.5,1000,7,1,0.5
Maruti,Diesel,Automatic,Dealer,2009,19665,23.7,1200,5,2,0.61
Volkswagen,Petrol,Manual,Trustmark Dealer,2011,19560,26.1,1200,8,2,0.5
Mahindra,Petrol,Automatic,Individual,2016,31376,24.7,2000,4,4,0.58
Volkswagen,Electric,Manual,Dealer,2024,155929,8.6,2500,7,2,0.5
Kia,Petrol,Manual,Dealer,2010,103042,22.8,1800,5,2,0.5
Maruti,Diesel,Manual,Dealer,2007,113304,18.9,2000,5,2,0.5
Audi,CNG,Manual,Dealer,2014,156382,20.6,1800,5,1,0.5
Kia,CNG,Manual,Individual,2008,23328,16.2,2000,5,1,0.5
Kia,Electric,Manual,Trustmark Dealer,2017,177469,23.7,3000,8,1,0.5
Mercedes,Petrol,Manual,Dealer,2023,174231,22.8,1200,5,1,0.5
Honda,Petrol,Manual,Individual,2009,125087,20.7,1500,5,1,0.5
Maruti,Petrol,Manual,Dealer,2022,186834,27.0,1800,7,1,0.5
Kia,Petrol,Automatic,Dealer,2005,195376,10.2,3000,5,1,0.5
Honda,Petrol,Manual,Dealer,2020,53998,14.6,1800,5,4,0.5
Honda,Petrol,Manual,Dealer,2020,124292,18.9,1500,6,1,0.5
Maruti,Diesel,Manual,Trustmark Dealer,2020,69853,29.1,800,7,2,0.5
Mercedes,Diesel,Manual,Dealer,2023,107304,9.6,2500,8,3,3.09
Ford,Petrol,Automatic,Dealer,2020,155120,15.4,3000,7,2,0.5
BMW,Diesel,Manual,Trustmark Dealer,2005,55217,28.4,1800,7,1,2.14
Mahindra,Petrol,Automatic,Trustmark Dealer,2024,182327,27.8,1800,8,2,0.5
BMW,Petrol,Manual,Individual,2024,194692,27.0,1500,5,1,0.5
Volkswagen,Diesel,Manual,Trustmark Dealer,2014,159957,14.8,3000,5,1,0.5
Audi,Diesel,Manual,Dealer,2006,71139,26.6,1500,7,3,0.5
Mahindra,Diesel,Manual,Individual,2018,76831,19.1,1200,5,1,0.5
Volkswagen,Petrol,Manual,Individual,2012,177220,21.6,2500,5,3,0.5
Kia,CNG,Manual,Trustmark Dealer,2010,12103,13.3,1200,7,1,0.5
Audi,Diesel,Manual,Individual,2007,161323,23.5,3000,8,2,0.5
Hyundai,Diesel,Manual,Dealer,2020,19546,15.2,800,5,1,0.66
Maruti,Diesel,Automatic,Individual,2021,151528,15.6,800,5,4,0.5
Mahindra,CNG,Manual,Dealer,2016,23228,22.0,800,5,1,0.5
Mahindra,Diesel,Manual,Dealer,2023,5046,13.3,1000,5,4,1.12
Kia,Diesel,Manual,Dealer,2024,71355,12.9,1500,5,1,0.5
Ford,Electric,Manual,Trustmark Dealer,2007,172647,16.1,1800,5,2,0.5
Honda,Diesel,Manual,Dealer,2017,137152,25.1,1500,5,2,0.5
Audi,Petrol,Automatic,Individual,2020,120965,12.9,1500,5,1,0.5
Kia,Diesel,Automatic,Dealer,2015,82462,25.3,800,7,2,0.5
Tata,Petrol,Manual,Trustmark Dealer,2024,20930,23.3,1500,6,1,1.92
Mercedes,Petrol,Manual,Dealer,2020,118476,22.9,1000,5,1,1.89
Honda,Diesel,Manual,Individual,2024,85823,18.4,2000,5,2,0.5
Maruti,Electric,Automatic,Trustmark Dealer,2006,175581,24.4,1800,5,3,0.5
Honda,Electric,Manual,Dealer,2008,105521,8.3,3000,8,2,0.5
Ford,Petrol,Manual,Dealer,2008,83880,14.7,2000,5,2,0.5
Honda,Diesel,Manual,Individual,2021,177827,22.9,800,8,2,0.5
Maruti,Petrol,Automatic,Trustmark Dealer,2005,188552,29.7,2500,7,3,0.5
Ford,Electric,Manual,Individual,2005,12293,8.1,1200,5,4,0.5
BMW,Electric,Manual,Dealer,2009,73542,19.2,2500,5,2,2.79
Mahindra,Diesel,Automatic,Trustmark Dealer,2016,65528,28.3,2500,7,1,1.17
Mahindra,CNG,Manual,Dealer,2010,160428,27.0,2000,5,1,0.5
Mercedes,Diesel,Automatic,Individual,2010,113885,8.5,1800,5,1,2.05
Volkswagen,Diesel,Manual,Individual,2021,172983,19.7,2000,5,3,0.5
BMW,Petrol,Automatic,Dealer,2017,150771,8.1,1200,5,4,0.5
BMW,Diesel,Automatic,Individual,2012,164506,25.4,3000,5,2,0.5
Audi,Diesel,Manual,Individual,2016,59669,14.8,1200,8,4,1.69
Honda,Diesel,Automatic,Trustmark Dealer,2019,22602,24.8,1500,5,1,2.31
Mahindra,Petrol,Manual,Dealer,2023,176858,28.8,1800,7,2,0.5
Maruti,Electric,Automatic,Dealer,2024,14952,29.5,1000,5,2,5.15
Toyota,Petrol,Manual,Individual,2021,46684,27.7,1500,5,1,0.68
Toyota,Diesel,Automatic,Dealer,2013,121032,12.5,1200,5,2,0.5
Ford,Diesel,Manual,Dealer,2022,166561,12.3,2000,8,1,0.5
Mahindra,Diesel,Automatic,Trustmark Dealer,2006,37905,21.8,3000,4,2,0.5
Mahindra,Diesel,Manual,Dealer,2015,58602,20.0,1800,6,2,0.5
Mercedes,Petrol,Automatic,Trustmark Dealer,2024,182996,8.2,3000,5,3,0.5
Toyota,Petrol,Automatic,Dealer,2021,18381,16.6,1500,7,2,2.64
Mahindra,Diesel,Manual,Dealer,2022,33130,27.9,1800,5,1,1.84
Mercedes,Diesel,Automatic,Individual,2019,35415,27.8,2000,5,1,6.56
Honda,Petrol,Automatic,Individual,2011,185200,12.5,800,5,1,0.5
Tata,Diesel,Manual,Individual,2020,89679,16.4,1000,5,1,0.5
Audi,Diesel,Manual,Individual,2005,120458,20.3,1000,5,2,0.5
Hyundai,Diesel,Manual,Individual,2022,136460,26.8,1000,5,1,0.5
BMW,CNG,Manual,Dealer,2012,82652,19.7,3000,6,2,0.9
Volkswagen,Petrol,Manual,Dealer,2011,155878,29.3,1200,5,1,0.5
Ford,Petrol,Manual,Dealer,2006,69333,25.6,1200,5,1,0.5
Tata,Diesel,Manual,Individual,2016,115930,29.0,3000,6,1,0.5
Audi,Diesel,Manual,Dealer,2020,9852,24.1,1000,5,1,5.01
Audi,Diesel,Manual,Dealer,2013,144699,27.3,1800,5,1,0.5
Audi,CNG,Automatic,Dealer,2024,194889,26.3,800,5,1,0.5
Audi,CNG,Automatic,Dealer,2015,165120,13.6,1200,8,1,0.5
Toyota,Electric,Manual,Dealer,2019,105286,13.0,2000,5,1,0.5
Mercedes,Diesel,Automatic,Individual,2007,118120,27.0,1500,5,1,1.18
BMW,Diesel,Automatic,Dealer,2017,81596,9.9,1500,5,1,2.88
Mahindra,Petrol,Automatic,Trustmark Dealer,2017,131697,17.0,1200,5,1,0.5
Audi,Petrol,Manual,Individual,2006,194189,26.1,1000,5,1,0.5
Volkswagen,Diesel,Manual,Dealer,2010,13209,25.9,1800,5,2,0.71
Mahindra,Petrol,Automatic,Individual,2010,58482,11.1,800,5,1,0.5
Maruti,Electric,Automatic,Dealer,2016,43197,18.7,1500,5,2,1.61
Maruti,Diesel,Automatic,Individual,2008,82694,18.6,1200,5,1,0.5
Volkswagen,Diesel,Automatic,Trustmark Dealer,2009,154148,15.1,3000,4,4,0.5
Mercedes,Petrol,Manual,Individual,2012,122458,28.2,1800,5,1,0.5
Volkswagen,Petrol,Manual,Individual,2010,124614,22.4,3000,5,2,0.5
Toyota,Petrol,Manual,Dealer,2007,194554,29.6,1000,5,1,0.5
Volkswagen,Petrol,Manual,Dealer,2012,94484,9.5,800,5,2,0.5
Honda,Petrol,Automatic,Trustmark Dealer,2023,154151,16.7,800,5,2,0.5
Mahindra,Diesel,Manual,Dealer,2015,150050,26.4,1500,5,1,0.5
Tata,CNG,Manual,Dealer,2022,186810,17.3,3000,4,1,0.5
Kia,CNG,Automatic,Dealer,2014,17705,13.8,2500,7,4,0.5
Mercedes,Diesel,Manual,Individual,2024,162979,30.0,1500,8,3,1.31
Volkswagen,Petrol,Automatic,Dealer,2016,58832,27.2,2000,4,2,0.5
Ford,CNG,Automatic,Trustmark Dealer,2024,92367,20.0,1200,5,3,0.5
Maruti,CNG,Manual,Dealer,2012,59612,20.4,2500,5,1,0.5
Honda,Petrol,Manual,Dealer,2023,114165,8.2,800,5,2,0.5
BMW,Diesel,Manual,Individual,2020,78501,29.6,1000,7,1,3.17
Audi,Petrol,Manual,Dealer,2022,15248,25.7,1000,5,2,4.52
Kia,CNG,Manual,Individual,2013,51988,8.8,2500,5,2,0.5
Mercedes,Electric,Manual,Dealer,2008,94169,11.9,1200,4,1,1.24
Tata,Petrol,Automatic,Dealer,2013,100039,26.1,800,5,2,0.5
Kia,CNG,Manual,Dealer,2006,12461,9.9,1500,5,1,0.5
Volkswagen,Diesel,Automatic,Trustmark Dealer,2013,163070,28.7,2000,5,1,0.5
Toyota,Electric,Manual,Individual,2013,148893,30.0,1000,5,3,0.5
Maruti,Diesel,Manual,Individual,2022,24870,27.5,1800,5,3,1.56
Maruti,CNG,Automatic,Dealer,2015,18410,24.3,1200,5,1,1.18
BMW,Petrol,Manual,Individual,2017,92721,18.7,1000,7,2,0.5
Toyota,Petrol,Manual,Dealer,2010,24133,9.8,1800,5,1,0.5
Audi,Petrol,Automatic,Trustmark Dealer,2013,94705,24.1,2500,5,1,1.63
Mahindra,Electric,Automatic,Individual,2020,28359,16.7,1800,5,3,2.11
Hyundai,CNG,Automatic,Individual,2008,197457,20.5,1000,6,1,0.5
Honda,CNG,Manual,Dealer,2006,32400,14.5,1200,5,1,0.5
Maruti,Electric,Manual,Individual,2011,39173,13.3,1800,5,1,0.5
Ford,Petrol,Automatic,Dealer,2019,16179,15.1,1800,5,1,2.5
Maruti,Petrol,Automatic,Trustmark Dealer,2010,106879,25.9,800,8,1,0.5
Kia,Petrol,Manual,Dealer,2015,197958,17.4,2000,7,2,0.5
Maruti,Petrol,Automatic,Dealer,2024,40495,14.9,2000,5,1,1.93
Mercedes,Petrol,Manual,Dealer,2021,11487,17.5,3000,5,1,5.98
Maruti,Diesel,Manual,Dealer,2008,19760,8.7,2000,5,1,0.5
Hyundai,Petrol,Manual,Dealer,2023,132600,27.6,800,4,1,0.5
Hyundai,Petrol,Manual,Trustmark Dealer,2011,96975,20.1,2000,7,1,0.5
Audi,Petrol,Manual,Individual,2015,97465,10.3,800,6,1,0.5
Tata,Petrol,Manual,Trustmark Dealer,2017,34403,14.3,1800,5,1,0.5
Mahindra,Electric,Manual,Individual,2007,120625,29.6,1800,7,1,0.5
Ford,Diesel,Automatic,Dealer,2018,113576,21.0,1200,5,1,0.5
Maruti,Electric,Automatic,Individual,2006,6755,14.4,1500,5,2,1.27
Maruti,Petrol,Automatic,Dealer,2022,133500,17.4,3000,5,1,0.5
Honda,Petrol,Automatic,Trustmark Dealer,2009,172230,13.7,800,5,1,0.5
Hyundai,Diesel,Manual,Dealer,2017,76352,8.7,2000,5,2,0.5
Ford,Petrol,Manual,Dealer,2017,168688,26.5,1500,5,4,0.5
Audi,Petrol,Automatic,Dealer,2018,120891,14.4,800,5,3,0.6
BMW,Petrol,Manual,Dealer,2016,81759,26.4,2000,5,3,1.06
Tata,Petrol,Manual,Dealer,2017,117133,18.5,2500,7,3,0.5
Mahindra,Petrol,Manual,Dealer,2022,161038,12.0,2500,8,2,0.5
Toyota,Petrol,Automatic,Individual,2017,12688,25.6,800,5,3,2.55
Mahindra,Diesel,Manual,Individual,2008,175556,16.3,2000,5,2,0.5
Mercedes,Petrol,Automatic,Dealer,2014,195927,23.6,1200,7,1,0.5
Kia,Petrol,Manual,Dealer,2009,163625,26.4,1200,5,1,0.5
Mercedes,CNG,Automatic,Trustmark Dealer,2022,74282,29.2,2500,5,2,4.81
Maruti,Petrol,Automatic,Dealer,2012,193514,9.9,1000,5,3,0.5
Tata,Petrol,Automatic,Trustmark Dealer,2018,154651,8.2,800,5,1,0.5
Kia,CNG,Manual,Dealer,2006,149086,20.1,800,5,1,0.5
Ford,Petrol,Manual,Individual,2012,53443,13.8,2500,5,2,0.5
Toyota,Petrol,Automatic,Individual,2020,178033,18.3,800,6,2,0.5
Hyundai,Diesel,Manual,Individual,2011,192573,9.6,3000,5,3,0.5
Tata,Petrol,Manual,Trustmark Dealer,2007,194986,19.0,1200,5,4,0.5
Tata,Diesel,Manual,Dealer,2008,124086,10.7,2000,5,1,0.5
Mercedes,CNG,Automatic,Dealer,2011,41397,26.4,800,5,1,4.02
Maruti,Petrol,Manual,Individual,2008,78302,24.7,1000,7,1,0.5
Volkswagen,Diesel,Automatic,Individual,2013,118417,9.6,1800,5,3,0.5
Audi,Diesel,Manual,Dealer,2021,183250,26.4,1000,7,1,0.5
Mercedes,Petrol,Manual,Individual,2021,6063,15.1,2000,5,1,5.76
Tata,Diesel,Automatic,Dealer,2024,145406,15.8,1800,5,1,0.5
Honda,Petrol,Manual,Dealer,2018,80848,12.0,1200,5,1,0.5
Toyota,Diesel,Manual,Individual,2018,161199,26.4,2500,5,1,0.5
Audi,Petrol,Automatic,Dealer,2017,172115,16.9,2000,5,3,0.5
Mercedes,Diesel,Automatic,Individual,2008,71512,9.1,1500,5,2,1.67
Toyota,Petrol,Manual,Dealer,2017,115687,29.3,2000,8,3,0.5
Honda,CNG,Automatic,Dealer,2021,131230,13.6,3000,7,1,0.5
BMW,Petrol,Automatic,Individual,2019,140141,28.6,1200,5,2,0.52
Honda,Petrol,Automatic,Individual,2022,133167,14.6,1500,4,2,0.5
Honda,Diesel,Manual,Dealer,2015,151676,26.3,1800,5,1,0.5
Toyota,Diesel,Manual,Dealer,2008,19612,22.6,1500,4,1,0.5
Mahindra,Diesel,Automatic,Dealer,2024,185174,26.9,1800,5,2,0.5
Toyota,Diesel,Automatic,Dealer,2015,44170,29.5,2000,5,2,1.58
Volkswagen,Diesel,Manual,Trustmark Dealer,2014,181173,27.2,1500,5,1,0.5
Maruti,CNG,Manual,Trustmark Dealer,2017,70881,16.9,1800,5,1,0.5
Kia,Petrol,Manual,Dealer,2012,173782,25.9,2000,5,1,0.5
Mahindra,Diesel,Manual,Dealer,2017,127092,23.7,3000,8,1,0.5
Hyundai,CNG,Manual,Trustmark Dealer,2013,120764,9.4,1500,5,1,0.5
Kia,Electric,Manual,Individual,2005,145435,28.5,1800,5,1,0.5
Maruti,CNG,Automatic,Individual,2005,139842,18.3,1000,5,1,0.5
Mercedes,Petrol,Manual,Individual,2019,125340,11.0,800,5,2,0.5
Audi,Petrol,Automatic,Dealer,2008,49121,17.4,3000,8,4,2.18
Volkswagen,Diesel,Manual,Dealer,2024,78960,21.3,1000,5,1,0.5
Volkswagen,Diesel,Manual,Trustmark Dealer,2005,16990,20.6,1200,8,1,0.5
Hyundai,Diesel,Manual,Individual,2016,99258,20.6,2500,5,1,0.5
Mahindra,Diesel,Manual,Dealer,2015,132640,13.6,2500,7,2,0.5
BMW,CNG,Automatic,Dealer,2023,49659,21.9,1500,5,2,5.01
Honda,Petrol,Automatic,Dealer,2019,37137,28.0,2500,8,2,3.16
Mahindra,CNG,Manual,Individual,2014,20573,16.6,3000,5,2,0.5
Audi,Petrol,Manual,Dealer,2005,152906,21.9,2000,5,3,0.5
BMW,Petrol,Manual,Dealer,2007,14554,13.4,1800,5,4,1.33
Volkswagen,Diesel,Automatic,Trustmark Dealer,2018,112804,9.1,3000,7,1,0.5
Toyota,Diesel,Automatic,Dealer,2019,87164,20.9,1000,7,4,0.5
Audi,Petrol,Manual,Dealer,2005,189869,9.0,1000,5,2,0.5
Maruti,Petrol,Automatic,Dealer,2014,18015,23.9,2000,5,2,0.85
Hyundai,Electric,Automatic,Dealer,2005,140806,22.7,1800,4,2,0.5
Maruti,Petrol,Manual,Dealer,2019,116175,16.1,1500,5,3,0.5
Audi,Diesel,Manual,Trustmark Dealer,2007,64617,17.0,2000,7,3,0.74
Ford,Diesel,Automatic,Trustmark Dealer,2024,185664,28.2,1200,5,1,0.5
Ford,Diesel,Automatic,Dealer,2016,115041,8.3,1200,5,1,0.5
Mercedes,Diesel,Manual,Dealer,2023,80195,20.4,2000,5,3,4.01
Mahindra,Petrol,Manual,Individual,2020,125603,28.3,1200,7,1,0.5
Volkswagen,Diesel,Manual,Dealer,2012,169653,28.1,2500,5,1,0.5
Volkswagen,Petrol,Manual,Dealer,2018,164989,20.9,3000,5,1,0.5
Honda,Diesel,Automatic,Trustmark Dealer,2022,142715,16.4,1800,8,2,0.5
Honda,Petrol,Manual,Dealer,2005,18269,10.2,3000,5,2,0.5
Honda,Diesel,Automatic,Dealer,2006,23358,11.8,1000,7,1,0.5
Toyota,Petrol,Automatic,Dealer,2016,103029,23.0,2000,5,2,0.5
Kia,Petrol,Manual,Dealer,2021,88857,8.4,1200,5,3,0.5
Tata,Petrol,Manual,Dealer,2006,136275,27.4,3000,7,1,0.5
Kia,Petrol,Manual,Dealer,2021,197830,20.9,1000,7,1,0.5
Maruti,CNG,Automatic,Dealer,2011,86254,9.0,2000,5,3,0.5
Kia,Petrol,Manual,Individual,2010,106892,13.3,1200,5,3,0.5
Toyota,Electric,Automatic,Dealer,2010,61235,21.1,1200,5,1,1.03
Mercedes,Electric,Automatic,Dealer,2012,40304,8.8,2000,5,2,5.32
Maruti,Diesel,Manual,Individual,2009,27172,25.2,1500,6,2,0.5
Kia,Petrol,Automatic,Trustmark Dealer,2019,78834,28.2,1800,7,1,0.5
Toyota,Petrol,Automatic,Dealer,2011,90731,29.1,1500,7,3,0.5
Tata,Diesel,Manual,Dealer,2007,49857,24.1,2500,5,1,0.5
Kia,Petrol,Manual,Dealer,2014,146483,26.9,1000,5,2,0.5
Toyota,Petrol,Automatic,Individual,2007,12825,21.4,2500,5,1,0.85
Honda,Diesel,Automatic,Dealer,2018,101774,18.1,1000,5,3,0.5
Volkswagen,CNG,Manual,Dealer,2007,174814,23.7,2000,5,1,0.5
Honda,Diesel,Manual,Dealer,2005,123624,12.9,1800,8,1,0.5
Volkswagen,Petrol,Manual,Dealer,2005,194373,10.4,1200,5,1,0.5
Hyundai,Diesel,Automatic,Dealer,2023,159412,24.8,1800,5,1,0.5
Hyundai,Petrol,Manual,Dealer,2008,32151,29.1,3000,5,3,0.5
Hyundai,Petrol,Manual,Individual,2006,48327,20.7,1200,5,1,0.5
Tata,CNG,Automatic,Individual,2015,145324,18.6,800,7,2,0.5
Honda,Petrol,Manual,Dealer,2016,40314,19.8,2500,4,3,0.5
Volkswagen,Petrol,Automatic,Dealer,2017,52368,18.5,800,7,2,0.51
Toyota,Petrol,Manual,Dealer,2020,66110,17.7,1800,5,1,0.5
Maruti,CNG,Automatic,Dealer,2020,133667,28.8,2500,5,2,0.5
Toyota,Diesel,Manual,Trustmark Dealer,2023,137744,18.6,3000,7,1,0.5
Maruti,Diesel,Automatic,Trustmark Dealer,2024,20322,9.8,800,5,1,2.47
Ford,Diesel,Automatic,Dealer,2024,147263,24.8,800,4,1,0.5
Toyota,Petrol,Manual,Dealer,2013,173153,16.6,2500,5,2,0.5
Kia,Diesel,Manual,Dealer,2020,150737,23.6,3000,5,2,0.5
Kia,Petrol,Manual,Individual,2011,66625,20.8,2500,5,2,0.5
Mahindra,Petrol,Manual,Individual,2017,60504,23.7,1000,5,1,0.5
Honda,Diesel,Automatic,Individual,2008,180666,9.4,1200,5,2,0.5
Maruti,Electric,Automatic,Individual,2017,62631,8.7,2000,5,1,0.56
Maruti,Petrol,Manual,Dealer,2012,54239,16.3,800,5,1,0.5
Audi,Petrol,Automatic,Individual,2006,192370,23.2,1500,5,3,0.5
Mercedes,Petrol,Automatic,Individual,2011,109583,12.9,3000,4,1,1.1
Honda,Petrol,Automatic,Individual,2015,7967,17.5,2500,5,1,2.34
Tata,Electric,Manual,Dealer,2021,42018,29.6,1000,5,3,1.47
